rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/kl_divergence_loss,train/policy_objective,train/n_updates,train/learning_rate,train/is_line_search_success,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
88.43478260869566,8,239,1,-182.92347339130436,2048,,,,,,,,,
85.72340425531915,54,74,2,-171.59971685106385,4096,0.004562317859381437,0.013654186390340328,1,0.001,1.0,1349.0177715301513,0.0014110207557678223,,
88.02898550724638,64,95,3,-159.84377968115945,6144,0.0069758594036102295,0.017037561163306236,2,0.001,1.0,742.1854246139526,0.0007545351982116699,,
91.57303370786516,73,110,4,-150.0854839550562,8192,0.006869582459330559,0.018580147996544838,3,0.001,1.0,420.06134881973264,-0.002504110336303711,,
94.95,85,119,5,-148.35822112,10240,0.006466097664088011,0.016199175268411636,4,0.001,1.0,472.8877143859863,-0.003433823585510254,,
97.14,97,126,6,-138.52907398000002,12288,0.0047470382414758205,0.028087276965379715,5,0.001,1.0,576.7541023254395,-0.006713986396789551,,
102.32,117,122,7,-128.31574539000002,14336,0.005593486595898867,0.014170458540320396,6,0.001,1.0,440.39681606292726,-0.0026286840438842773,,
106.77,131,124,8,-122.44743447,16384,0.007158911321312189,0.019325168803334236,7,0.001,1.0,389.67235507965086,-4.00543212890625e-05,,
110.51,145,126,9,-118.52669671,18432,0.0054351817816495895,0.020503507927060127,8,0.001,1.0,249.05846652984619,4.309415817260742e-05,,
112.83,157,130,10,-108.92152220999998,20480,0.00472284248098731,0.016789009794592857,9,0.001,1.0,328.6832585334778,-0.00032198429107666016,,
115.03,172,130,11,-95.27830081,22528,0.00438882177695632,0.010084475390613079,10,0.001,1.0,308.8953733444214,-0.09644889831542969,,
115.03,207,118,12,-95.27830081,24576,0.005285785999149084,0.01562623307108879,11,0.001,1.0,231.12585158348082,0.004576265811920166,,
149.24,222,119,13,-90.93142736000001,26624,0.007785122841596603,0.017066648229956627,12,0.001,1.0,32.74209117889404,0.5387919545173645,,
150.51,236,121,14,-83.98814854,28672,0.0071103256195783615,0.017742212861776352,13,0.001,1.0,150.8943284034729,0.04402047395706177,,
179.4,254,120,15,-86.48656266,30720,0.003992351703345776,0.01502985879778862,14,0.001,1.0,154.0947524547577,0.24598461389541626,,
188.08,268,122,16,-89.27321915,32768,0.005858580581843853,0.017247021198272705,15,0.001,1.0,17.900514441728593,0.7929603457450867,,
194.12,295,117,17,-89.93539876999999,34816,0.006537690293043852,0.01420438103377819,16,0.001,1.0,380.6463321685791,-0.11165893077850342,,
194.12,312,118,18,-89.93539876999999,36864,0.005883886478841305,0.018384747207164764,17,0.001,1.0,204.53666229248046,0.25793272256851196,,
229.86,321,121,19,-89.15286132000001,38912,0.008290907368063927,0.022216923534870148,18,0.001,1.0,11.203575092554093,0.8143330812454224,,
235.2,330,123,20,-77.02401906,40960,0.005854503717273474,0.012313649989664555,19,0.001,1.0,254.01803340911866,0.29499995708465576,,
254.43,342,125,21,-73.30444913,43008,0.005827000364661217,0.01956876553595066,20,0.001,1.0,302.44546365737915,0.3584449887275696,,
261.08,352,127,22,-64.47596128,45056,0.004689860623329878,0.015305379405617714,21,0.001,1.0,130.12396926879882,0.4853869080543518,,
263.9,386,121,23,-64.34360716,47104,0.0047282325103878975,0.017311185598373413,22,0.001,1.0,237.30988683700562,0.3876481056213379,,
292.65,409,119,24,-67.10010047,49152,0.006036689970642328,0.019060470163822174,23,0.001,1.0,82.92029478549958,0.7195729911327362,,
299.17,427,119,25,-65.44459683000001,51200,0.0063809361308813095,0.015455607324838638,24,0.001,1.0,30.708672797679903,0.7542685866355896,,
334.25,468,113,26,-69.21809089999999,53248,0.005451277829706669,0.011842184700071812,25,0.001,1.0,79.66357508897781,0.4034993648529053,,
352.87,508,108,27,-71.44278348,55296,0.00574703561142087,0.01756727322936058,26,0.001,1.0,125.2846144914627,0.3672252297401428,,
360.83,547,104,28,-70.93609289999999,57344,0.005355499684810638,0.01094195619225502,27,0.001,1.0,86.65822513103485,0.41623198986053467,,
360.83,591,100,29,-70.93609289999999,59392,0.004983413033187389,0.013917829841375351,28,0.001,1.0,191.42199721336365,0.5384393036365509,,
394.46,638,96,30,-73.95224963000001,61440,0.006731235422194004,0.015607147477567196,29,0.001,1.0,8.740334385633469,0.15890729427337646,,
394.46,680,93,31,-73.95224963000001,63488,0.004932446405291557,0.0180764589458704,30,0.001,1.0,139.4883352279663,0.586818277835846,,
424.79,693,94,32,-75.51323699000001,65536,0.006897646933794022,0.018947631120681763,31,0.001,1.0,1.904061472043395,0.7793167680501938,,
410.99,734,92,33,-73.52116146,67584,0.005028603598475456,0.015625782310962677,32,0.001,1.0,41.33207609057426,0.6383125483989716,,
422.68,748,92,34,-72.26808649,69632,0.006418641656637192,0.01894715055823326,33,0.001,1.0,140.5247492313385,0.3657565712928772,,
455.53,763,93,35,-74.48696958000001,71680,0.004765711724758148,0.01706760935485363,34,0.001,1.0,75.60906524062156,0.43390166759490967,,
458.25,778,94,36,-71.03991663000001,73728,0.004770735744386911,0.01988248899579048,35,0.001,1.0,118.27260942459107,0.2885397672653198,,
489.3,805,94,37,-77.28426218999999,75776,0.006011130288243294,0.01553900446742773,36,0.001,1.0,101.05390537977219,0.08891457319259644,,
507.0,823,94,38,-75.7450436,77824,0.00496529508382082,0.019689444452524185,37,0.001,1.0,78.8620164513588,0.4976693391799927,,
518.66,835,95,39,-74.30415327000001,79872,0.005207119043916464,0.011883259750902653,38,0.001,1.0,84.20255409479141,0.25169074535369873,,
518.66,849,96,40,-74.30415327000001,81920,0.006137415766716003,0.011732509359717369,39,0.001,1.0,114.89297450780869,0.22552138566970825,,
524.6,860,97,41,-67.2249734,83968,0.007550292182713747,0.02130819484591484,40,0.001,1.0,1.4108604807406664,0.8559804409742355,,
548.26,887,96,42,-69.72325565,86016,0.006336787715554237,0.017754897475242615,41,0.001,1.0,151.17028188705444,0.04158598184585571,,
558.78,901,97,43,-57.69485589,88064,0.005689230747520924,0.009073616936802864,42,0.001,1.0,61.910762971639635,0.1641940474510193,,
570.8,916,98,44,-40.07380454,90112,0.005298295058310032,0.015403030440211296,43,0.001,1.0,301.47128982543944,0.05748915672302246,,
579.53,932,98,45,-27.986870699999994,92160,0.0059241317212581635,0.010615338571369648,44,0.001,1.0,265.9323166847229,0.15744471549987793,,
563.76,943,99,46,-15.425428729999997,94208,0.006226045079529285,0.011333302594721317,45,0.001,1.0,157.81255264282225,0.14942431449890137,,
576.27,956,100,47,-4.62669365,96256,0.004098174162209034,0.00833378080278635,46,0.001,1.0,198.72686843872071,0.2628503441810608,,
590.84,985,99,48,-1.4207930000000006,98304,0.005617216229438782,0.008563490584492683,47,0.001,1.0,263.6961961746216,0.18151873350143433,,
,,,,,100000,0.003651777282357216,0.01834825798869133,48,0.001,1.0,196.4583854675293,-0.009133458137512207,3000.0,-638.3136927330081
601.94,1172,85,49,5.443603039999999,100352,,,,,,,,,
591.87,1188,86,50,11.694986970000002,102400,0.00612513767555356,0.00932404212653637,49,0.001,1.0,235.0436535835266,0.29128414392471313,,
608.54,1203,86,51,19.07480841,104448,0.006384845823049545,0.009579159319400787,50,0.001,1.0,111.35411117076873,0.2292119264602661,,
621.12,1234,86,52,25.931720369999997,106496,0.005632202606648207,0.014624479226768017,51,0.001,1.0,81.18771681785583,0.6127037405967712,,
632.22,1256,86,53,28.495709700000006,108544,0.006285536102950573,0.0159820057451725,52,0.001,1.0,71.94919312000275,0.7102740406990051,,
649.09,1268,87,54,35.628776599999995,110592,0.008147058077156544,0.0350753590464592,53,0.001,1.0,196.64515981674194,0.2875406742095947,,
592.82,1283,87,55,50.701697320000015,112640,0.007356892339885235,0.014345020055770874,54,0.001,1.0,75.81046748161316,0.8046965897083282,,
586.62,1298,88,56,62.230598900000004,114688,0.005630192346870899,0.014972714707255363,55,0.001,1.0,91.4079166173935,0.7592722475528717,,
562.51,1320,88,57,77.48225855999999,116736,0.008854578249156475,0.018483461812138557,56,0.001,1.0,171.60240411758423,0.5918196439743042,,
574.04,1332,89,58,85.90599915000001,118784,0.005247032735496759,0.019529595971107483,57,0.001,1.0,121.22458326816559,0.601313591003418,,
544.7,1345,89,59,97.03938876000002,120832,0.006977867800742388,0.012149002403020859,58,0.001,1.0,124.70091149806976,0.6852997541427612,,
512.85,1359,90,60,110.45900114,122880,0.005400583613663912,0.011202703230082989,59,0.001,1.0,179.74397354125978,0.5374656319618225,,
492.87,1374,90,61,122.02643154000003,124928,0.006647942122071981,0.008330246433615685,60,0.001,1.0,94.67408819198609,0.7189002931118011,,
478.87,1385,91,62,125.90689945,126976,0.004420075565576553,0.009732376784086227,61,0.001,1.0,155.12159957885743,0.6195271611213684,,
429.27,1400,92,63,134.51435583999998,129024,0.007067081984132528,0.011619494296610355,62,0.001,1.0,128.8453132867813,0.5100498795509338,,
435.7,1421,92,64,136.66795516,131072,0.0051873717457056046,0.01089879684150219,63,0.001,1.0,99.16132394075393,0.7392847537994385,,
441.22,1435,92,65,137.06020071,133120,0.008825446479022503,0.01847379095852375,64,0.001,1.0,99.81556046009064,0.777771383523941,,
443.24,1449,93,66,136.52493501,135168,0.004371360410004854,0.012719797901809216,65,0.001,1.0,120.86792474985123,0.6793090999126434,,
445.54,1465,93,67,130.61977529,137216,0.004478557500988245,0.007686002179980278,66,0.001,1.0,129.89376623630523,0.6406307816505432,,
445.54,1480,94,68,130.61977529,139264,0.006208070553839207,0.011784372851252556,67,0.001,1.0,174.40881698131562,0.5619730949401855,,
471.77,1507,93,69,125.564242,141312,0.004356983117759228,0.009752511978149414,68,0.001,1.0,5.840795318782329,0.21418499946594238,,
495.97,1521,94,70,120.5895607,143360,0.005260588601231575,0.014554345048964024,69,0.001,1.0,11.007466999441386,0.7461681067943573,,
501.28,1533,94,71,116.86095721000001,145408,0.006036135368049145,0.010455608367919922,70,0.001,1.0,80.42869277596473,0.573983371257782,,
511.8,1547,95,72,117.06553167,147456,0.005038512870669365,0.010950123891234398,71,0.001,1.0,84.33600438833237,0.7725678831338882,,
509.7,1567,95,73,118.6698229,149504,0.006077673751860857,0.005401126109063625,72,0.001,1.0,112.59629518985749,0.7161254286766052,,
517.42,1588,95,74,119.03711575,151552,0.005019195377826691,0.010453250259160995,73,0.001,1.0,101.42596205472947,0.7578034698963165,,
520.83,1603,95,75,118.88745619999997,153600,0.008588702417910099,0.01701328530907631,74,0.001,1.0,78.33550198078156,0.8135570138692856,,
