time/total_timesteps,train/learning_rate,train/policy_loss,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean,train/n_updates,train/entropy_loss,train/explained_variance
500,0.0007,-19.579607009887695,160,3,100,-138.90204566666668,615.5391845703125,106.0,99,-1.2843856811523438,-0.0003865957260131836
1000,0.0007,-2.1729586124420166,241,4,200,-249.23942450000004,3.9408180713653564,122.375,199,-1.313962697982788,-0.0014685392379760742
