train/delta_std,train/iterations,rollout/return_std,rollout/ep_rew_mean,rollout/ep_len_mean,train/step_size,train/learning_rate,time/total_timesteps,time/time_elapsed,time/fps,eval/mean_ep_length,eval/mean_reward
0.05,61,54.39860153198242,-129.4463011875,74.25,4.595706195686944e-05,0.02,69820,98,710,,
0.05,62,55.279075622558594,-132.2787608125,70.375,4.522507151705213e-05,0.02,70946,99,713,,
0.05,63,53.020896911621094,-118.264044625,66.625,4.715121758636087e-05,0.02,72012,100,714,,
0.05,64,34.749759674072266,-131.831798625,68.3125,7.194293721113354e-05,0.02,73105,101,717,,
0.05,65,28.473154067993164,-120.76883268750001,68.3125,8.780200005276129e-05,0.02,74198,102,721,,
0.05,66,57.39356994628906,-115.3995506875,75.4375,4.3558888137340546e-05,0.02,75405,103,725,,
0.05,67,18.827621459960938,-140.4632701875,73.1875,0.00013278363621793687,0.02,76576,105,727,,
0.05,68,48.29812240600586,-129.76053725,72.375,5.1761846407316625e-05,0.02,77734,106,729,,
0.05,69,40.09233856201172,-125.4120065,67.125,6.235604814719409e-05,0.02,78808,107,731,,
0.05,70,20.96990203857422,-135.0134105625,64.5625,0.00011921848636120558,0.02,79841,109,731,,
0.05,71,52.015052795410156,-127.61699362499999,68.25,4.806301149073988e-05,0.02,80933,116,692,,
0.05,72,48.176151275634766,-131.28506312500002,66.75,5.189289731788449e-05,0.02,82001,121,672,,
0.05,73,20.444725036621094,-120.590058125,65.1875,0.00012228092236910015,0.02,83044,123,670,,
0.05,74,24.1280517578125,-123.71768012499999,67.4375,0.00010361383465351537,0.02,84123,125,671,,
0.05,75,23.05118179321289,-136.944440375,68.25,0.00010845431097550318,0.02,85215,126,674,,
0.05,76,20.608963012695312,-130.04738525,65.625,0.00012130643881391734,0.02,86265,127,676,,
0.05,77,32.59006881713867,-146.1611356875,70.0,7.671047933399677e-05,0.02,87385,128,678,,
0.05,78,46.572784423828125,-140.787742125,69.9375,5.3679414122598246e-05,0.02,88504,129,681,,
0.05,79,33.77976989746094,-128.21783175000002,67.3125,7.400879258057103e-05,0.02,89581,130,684,,
0.05,80,48.01920700073242,-121.55475425,71.1875,5.2062499889871106e-05,0.02,90720,131,687,,
0.05,81,17.298358917236328,-134.225966125,66.25,0.00014452237519435585,0.02,91780,132,690,,
0.05,82,37.951438903808594,-128.90470031249998,72.375,6.587365351151675e-05,0.02,92938,133,693,,
0.05,83,21.64695930480957,-135.2966826875,64.6875,0.00011548965994734317,0.02,93973,134,696,,
0.05,84,37.20207214355469,-123.9934458125,75.0,6.720055534970015e-05,0.02,95173,136,697,,
0.05,85,28.743831634521484,-134.8077271875,69.1875,8.697518205735832e-05,0.02,96280,138,695,,
0.05,86,57.125465393066406,-151.3032406875,73.0,4.376331708044745e-05,0.02,97448,140,694,,
0.05,87,19.135997772216797,-128.20258237500002,69.5625,0.0001306438207393512,0.02,98561,141,697,,
0.05,88,23.29719352722168,-128.5320679375,64.5,0.00010730906069511548,0.02,99593,142,700,,
,,,,,,,100000,,,64.0,-147.88244121205062
0.05,89,52.106285095214844,-117.3837345625,71.375,4.797885412699543e-05,0.02,100735,143,702,,
0.05,90,28.83659553527832,-138.745292125,68.375,8.669539238326252e-05,0.02,101829,144,704,,
0.05,91,76.53031921386719,-160.9819159375,76.4375,3.266679050284438e-05,0.02,103052,145,707,,
0.05,92,36.78338623046875,-126.7908971875,72.9375,6.796546949772164e-05,0.02,104219,146,710,,
0.05,93,64.06464385986328,-107.6715156875,67.125,3.902308162651025e-05,0.02,105293,147,712,,
0.05,94,18.913236618041992,-122.90551268749999,68.125,0.00013218255480751395,0.02,106383,149,713,,
0.05,95,34.563201904296875,-123.54883875,67.875,7.233126234496012e-05,0.02,107469,150,716,,
0.05,96,42.65797424316406,-129.4530599375,67.4375,5.8605688536772504e-05,0.02,108548,151,718,,
0.05,97,39.56990051269531,-120.28818125,71.0625,6.317933730315417e-05,0.02,109685,152,719,,
0.05,98,48.8829231262207,-125.7512085625,66.25,5.11426042066887e-05,0.02,110745,154,718,,
0.05,99,34.18635177612305,-136.19553368750002,66.8125,7.312859816011041e-05,0.02,111814,155,718,,
0.05,100,163.85842895507812,-188.7706990625,70.0625,1.5257072845997754e-05,0.02,112935,156,720,,
0.05,101,19.619861602783203,-135.7733706875,64.9375,0.00012742189574055374,0.02,113974,157,721,,
0.05,102,47.930545806884766,-127.87394675,68.0625,5.215880446485244e-05,0.02,115063,158,724,,
0.05,103,71.01180267333984,-171.256410625,74.5625,3.520541577017866e-05,0.02,116256,160,726,,
0.05,104,35.493858337402344,-147.4973379375,68.5,7.043471850920469e-05,0.02,117352,161,727,,
0.05,105,42.45536422729492,-136.236607,66.25,5.888537270948291e-05,0.02,118412,162,729,,
0.05,106,57.945762634277344,-132.034644875,72.1875,4.3143791117472574e-05,0.02,119567,163,731,,
0.05,107,73.8336410522461,-131.86419893750002,77.0,3.3859902032418177e-05,0.02,120799,164,733,,
0.05,108,78.60086059570312,-148.5631701875,73.375,3.180626663379371e-05,0.02,121973,165,735,,
0.05,109,23.371444702148438,-130.2537506875,71.125,0.0001069681384251453,0.02,123111,166,738,,
0.05,110,54.00758743286133,-111.8650498125,75.0625,4.6289791498566046e-05,0.02,124312,167,740,,
0.05,111,22.09581756591797,-146.129787125,68.125,0.00011314358562231064,0.02,125402,169,738,,
0.05,112,40.8440055847168,-129.828579375,68.9375,6.120849138824269e-05,0.02,126505,171,737,,
0.05,113,56.624385833740234,-135.8781285625,70.875,4.415058720041998e-05,0.02,127639,172,739,,
0.05,114,23.917831420898438,-143.43087518750002,67.625,0.00010452452988829464,0.02,128721,173,742,,
0.05,115,20.636287689208984,-135.7115735,65.625,0.00012114581477362663,0.02,129771,174,743,,
0.05,116,62.38066864013672,-132.66008075000002,68.75,4.0076520235743374e-05,0.02,130871,175,745,,
0.05,117,43.585086822509766,-121.340703625,68.9375,5.7359065976925194e-05,0.02,131974,176,747,,
0.05,118,24.74028205871582,-133.5979025,70.4375,0.0001010497726383619,0.02,133101,177,749,,
0.05,119,120.58390045166016,-164.90699581249999,75.5,2.0732453776872717e-05,0.02,134309,178,751,,
0.05,120,52.956504821777344,-120.9914446875,69.9375,4.7208555770339444e-05,0.02,135428,179,753,,
0.05,121,52.92963409423828,-113.641188625,69.375,4.723251549876295e-05,0.02,136538,180,755,,
0.05,122,149.32577514648438,-156.8101716875,71.9375,1.6741918443585746e-05,0.02,137689,181,757,,
0.05,123,62.71574783325195,-122.5493939375,69.375,3.986239244113676e-05,0.02,138799,182,759,,
0.05,124,70.2437973022461,-121.26628512500001,66.375,3.5590332117863e-05,0.02,139861,183,760,,
0.05,125,59.20724105834961,-139.531488625,73.625,4.222456118441187e-05,0.02,141039,184,762,,
0.05,126,50.65707778930664,-142.000957,69.3125,4.935144170303829e-05,0.02,142148,185,764,,
0.05,127,30.22697639465332,-131.1022113125,69.4375,8.270757825812325e-05,0.02,143259,186,766,,
0.05,128,46.106258392333984,-125.925753375,73.9375,5.422257163445465e-05,0.02,144442,187,769,,
0.05,129,20.93614387512207,-135.33149774999998,64.875,0.00011941070988541469,0.02,145480,188,770,,
0.05,130,23.49959945678711,-141.92493775,66.1875,0.00010638478852342814,0.02,146539,189,772,,
0.05,131,28.73322296142578,-143.86698843750003,71.1875,8.700729085830972e-05,0.02,147678,190,774,,
0.05,132,52.11918640136719,-114.3020236875,71.8125,4.796697976416908e-05,0.02,148827,191,776,,
0.05,133,19.84609031677246,-132.6774505625,69.0,0.0001259693963220343,0.02,149931,198,755,,
0.05,134,37.18430709838867,-140.824010375,71.5,6.723266415065154e-05,0.02,151075,202,744,,
0.05,135,38.55607604980469,-132.3463003125,68.875,6.48406203254126e-05,0.02,152177,204,743,,
