time/time_elapsed,rollout/ep_rew_mean,rollout/exploration_rate,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps
0,-162.62790575,0.05,93.5,4,3730,374
0,-176.12941,0.05,90.75,8,3696,726
