rollout/exploration_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/n_updates,train/learning_rate,train/loss,eval/mean_ep_length,eval/mean_reward
0.9986003333333329,0,-207.55190800000003,825,110.5,4,442,,,,,
0.9974128333333335,0,-192.844148625,886,102.125,8,817,,,,,
0.9961366666666667,1,-213.09139125000002,860,101.66666666666667,12,1220,,,,,
0.9949649999999998,1,-236.19540631249998,906,99.375,16,1590,,,,,
0.993764833333333,2,-230.80713325000002,914,98.45,20,1969,,,,,
0.9927768333333331,2,-212.70209841666667,883,95.04166666666667,24,2281,,,,,
0.9918173333333329,2,-205.9754727857143,886,92.28571428571429,28,2584,,,,,
0.9907438333333336,3,-205.098296375,872,91.34375,32,2923,,,,,
0.9896323333333333,3,-208.73753927777778,865,90.94444444444444,36,3274,,,,,
0.9884068333333329,4,-207.22057999999998,853,91.525,40,3661,,,,,
0.9873681666666666,4,-203.67483079545454,863,90.6590909090909,44,3989,,,,,
0.9861046666666672,5,-201.39314197916667,869,91.41666666666667,48,4388,,,,,
0.9850438333333332,5,-195.4286115192308,853,90.82692307692308,52,4723,,,,,
0.983862666666667,5,-194.41715875,862,91.0,56,5096,,,,,
0.9822825,6,-201.12386911666667,850,93.25,60,5595,,,,,
0.9810189999999994,7,-197.294207609375,831,93.65625,64,5994,,,,,
0.9798631666666671,7,-195.34971317647057,820,93.51470588235294,68,6359,,,,,
0.978650333333333,8,-192.53697072222224,805,93.63888888888889,72,6742,,,,,
0.9775515,8,-197.44225515789475,796,93.27631578947368,76,7089,,,,,
0.9762911666666666,9,-200.7736074375,772,93.5875,80,7487,,,,,
0.9748629999999996,10,-200.31378216666667,772,94.5,84,7938,,,,,
0.9736438333333335,10,-202.03262537499995,765,94.57954545454545,88,8323,,,,,
0.9725006666666662,11,-201.29047256521736,747,94.3913043478261,92,8684,,,,,
0.9715538333333334,11,-197.55802689583334,751,93.57291666666667,96,8983,,,,,
0.9703663333333331,12,-199.83111538,747,93.58,100,9358,,,,,
0.9692833333333336,13,-197.20672469999997,742,92.58,104,9700,,,,,
0.9681750000000003,13,-197.58204932,751,92.33,108,10050,,,,,
